track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Late Night Talking,Harry Styles,1,7461,8,743693613,166,42,199,16,58,115,A#,Major,71,90,73,30,0,11,5,2022-05-20,2022-20
Music For a Sushi Restaurant,Harry Styles,1,4449,1,334733572,80,11,66,0,1,107,B,Major,72,36,72,26,6,11,4,2022-05-20,2022-20
Matilda,Harry Styles,1,3218,3,366214458,29,10,79,0,0,114,D,Major,51,39,29,90,0,10,4,2022-05-20,2022-20
Daylight,Harry Styles,1,2775,0,290833204,21,11,40,0,0,146,,Major,69,63,45,48,0,18,4,2022-05-20,2022-20
Little Freak,Harry Styles,1,2302,0,273194684,20,3,39,0,0,142,D#,Major,56,40,54,72,0,10,4,2022-05-20,2022-20
La Llevo Al Cielo (Ft. ��engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",4,3559,3,333146475,36,1,31,0,1,170,A,Minor,80,77,85,11,0,17,14,2022-05-20,2022-20
Satellite,Harry Styles,1,3291,5,311482393,43,28,79,0,208,139,,Major,58,30,46,14,0,9,3,2022-05-20,2022-20
Love Of My Life,Harry Styles,1,1933,0,233671263,13,2,31,0,0,118,G,Major,56,20,54,67,0,6,5,2022-05-20,2022-20
Grapejuice,Harry Styles,1,1986,0,199587884,7,1,15,0,0,183,F,Major,65,88,72,36,14,20,3,2022-05-20,2022-20
Keep Driving,Harry Styles,1,2094,1,236060709,8,1,18,0,0,165,A,Major,72,90,48,32,0,18,23,2022-05-20,2022-20
Cinema,Harry Styles,1,2171,0,189236868,18,1,28,0,0,106,A,Minor,83,90,64,35,5,9,4,2022-05-20,2022-20
Daydreaming,Harry Styles,1,1900,1,187703102,15,1,23,0,0,114,E,Minor,71,90,81,31,2,13,3,2022-05-20,2022-20
Boyfriends,Harry Styles,1,1517,0,137070925,26,2,30,0,0,118,,Major,42,32,20,94,0,11,4,2022-05-20,2022-20
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,1112,4,191873381,22,2,65,1,3,135,G#,Major,77,74,74,47,0,34,8,2022-05-20,2022-20
